zip,bfs_number,name,lat,lng,zone_category
2932,6781,Coeuve,47.41752724760161,8.826207157740996,moderate_potential
2933,6811,Damphreux-Lugnez,47.26087324184899,7.307963284102831,moderate_potential
2935,6812,Basse-Vendline,47.70482515581973,8.814736791483414,moderate_potential
2942,6771,Alle,47.031352404175124,7.471088837604425,moderate_potential
2943,6806,Vendlincourt,46.333119454228516,6.197564441373578,moderate_potential
2944,6812,Basse-Vendline,47.70482515581973,8.814736791483414,moderate_potential
2946,6810,La Baroche,47.56228680000933,8.593057456309035,good_potential
2947,6810,La Baroche,47.56228680000933,8.593057456309035,good_potential
2950,6784,Courgenay,46.86242201050672,9.329948421562834,good_potential
2952,6782,Cornol,46.286414752176356,8.065016644570518,moderate_potential
2953,6810,La Baroche,47.56228680000933,8.593057456309035,good_potential
2954,6810,La Baroche,47.56228680000933,8.593057456309035,good_potential
3004,351,Bern,46.73454622769422,6.669259223871123,good_potential
3005,351,Bern,46.73454622769422,6.669259223871123,good_potential
3006,351,Bern,46.73454622769422,6.669259223871123,good_potential
3007,351,Bern,46.73454622769422,6.669259223871123,good_potential
3008,351,Bern,46.73454622769422,6.669259223871123,good_potential
3010,351,Bern,46.73454622769422,6.669259223871123,good_potential
3011,351,Bern,46.73454622769422,6.669259223871123,good_potential
3012,351,Bern,46.73454622769422,6.669259223871123,good_potential
3013,351,Bern,46.73454622769422,6.669259223871123,good_potential
3014,351,Bern,46.73454622769422,6.669259223871123,good_potential
3015,351,Bern,46.73454622769422,6.669259223871123,good_potential
3018,351,Bern,46.73454622769422,6.669259223871123,good_potential
3019,351,Bern,46.73454622769422,6.669259223871123,good_potential
3020,351,Bern,46.73454622769422,6.669259223871123,good_potential
3027,351,Bern,46.73454622769422,6.669259223871123,good_potential
3032,360,Wohlen bei Bern,46.89915180938405,7.175668122438573,high_potential
3033,360,Wohlen bei Bern,46.89915180938405,7.175668122438573,high_potential
3034,360,Wohlen bei Bern,46.89915180938405,7.175668122438573,high_potential
3035,312,Seedorf (BE),46.98172147546762,6.7957342016798625,high_potential
3036,309,Radelfingen,46.56828538743307,6.5109065625824885,high_potential
3037,354,Kirchlindach,46.86545835310613,7.4091945367961625,moderate_potential
3038,354,Kirchlindach,46.86545835310613,7.4091945367961625,moderate_potential
3042,307,Meikirch,47.291352992345914,8.363859479258483,high_potential
3043,360,Wohlen bei Bern,46.89915180938405,7.175668122438573,high_potential
3044,360,Wohlen bei Bern,46.89915180938405,7.175668122438573,high_potential
3045,307,Meikirch,47.291352992345914,8.363859479258483,high_potential
3046,307,Meikirch,47.291352992345914,8.363859479258483,high_potential
3047,353,Bremgarten bei Bern,45.885231041314235,8.968038952218993,moderate_potential
3048,362,Ittigen,46.92879384552112,7.10076950282146,good_potential
3049,360,Wohlen bei Bern,46.89915180938405,7.175668122438573,high_potential
3052,361,Zollikofen,47.39053001392145,8.6172087771973,moderate_potential
3053,535,Deisswil bei Münchenbuchsee,46.1973779630513,6.1970066169957265,moderate_potential
3054,311,Schüpfen,46.630618668245525,9.378242753960135,good_potential
3063,362,Ittigen,46.92879384552112,7.10076950282146,good_potential
3065,352,Bolligen,46.34686445257054,7.164380965449208,high_potential
3066,358,Stettlen,47.443182424438085,7.909979593444435,high_potential
3067,359,Vechigen,46.60458869722941,7.357371478107135,high_potential
3068,359,Vechigen,46.60458869722941,7.357371478107135,high_potential
3072,363,Ostermundigen,47.4446527135106,8.40578741572974,high_potential
3073,356,Muri bei Bern,46.48762775291953,6.846541000525164,high_potential
3074,356,Muri bei Bern,46.48762775291953,6.846541000525164,high_potential
3075,627,Worb,46.74351716728621,8.623868841868292,high_potential
3076,627,Worb,46.74351716728621,8.623868841868292,high_potential
3077,627,Worb,46.74351716728621,8.623868841868292,high_potential
3078,627,Worb,46.74351716728621,8.623868841868292,high_potential
3082,608,Grosshöchstetten,46.22996340585999,7.237958360015654,good_potential
3083,616,Münsingen,47.38504321256777,7.465664898490371,good_potential
3084,355,Köniz,46.99681006103689,9.47331686273029,high_potential
3086,888,Wald (BE),47.43938243617732,8.432435431220833,high_potential
3087,877,Niedermuhlern,46.9475880166294,7.406347040842629,good_potential
3088,880,Rüeggisberg,47.470343841836744,7.91773250984439,moderate_potential
3089,880,Rüeggisberg,47.470343841836744,7.91773250984439,moderate_potential
3095,355,Köniz,46.99681006103689,9.47331686273029,high_potential
3096,357,Oberbalm,46.595131378397525,6.773612518892021,good_potential
3097,355,Köniz,46.99681006103689,9.47331686273029,high_potential
3098,355,Köniz,46.99681006103689,9.47331686273029,high_potential
3099,879,Riggisberg,46.54829338402784,6.519400029848447,good_potential
3110,616,Münsingen,47.38504321256777,7.465664898490371,good_potential
3111,616,Münsingen,47.38504321256777,7.465664898490371,good_potential
3112,630,Allmendingen,46.33422132713952,7.517206726422236,good_potential
3113,623,Rubigen,46.179147545089364,7.907512822675131,moderate_potential
3114,632,Wichtrach,47.51679083478988,9.316430186839481,good_potential
3115,866,Gerzensee,46.537051968080576,6.882663875786463,high_potential
3116,872,Kirchdorf (BE),47.22741333871592,8.119078891612721,high_potential
3122,870,Kehrsatz,47.470522666904955,7.0424607871631295,moderate_potential
3123,861,Belp,46.66090865231979,6.819356471603143,good_potential
3124,861,Belp,46.66090865231979,6.819356471603143,good_potential
3125,884,Toffen,47.27940187285656,8.761816346866746,high_potential
