municipality,bfs_number,dist_to_zone_m,in_zone,near_3km,zone_category,lon,lat
Meienried,389,5590,FALSE,FALSE,moderate_potential,8.450315436535957,47.281665271024956
Meierskappel,1064,0,TRUE,TRUE,high_potential,8.74192796974964,46.168584196966115
Meikirch,307,0,TRUE,TRUE,high_potential,8.363859479258483,47.291352992345914
Meilen,156,0,TRUE,TRUE,high_potential,7.510166210308167,46.8149220574441
Meinier,6629,0,TRUE,TRUE,high_potential,7.568645158034137,47.08483446844813
Meinisberg,390,3536,FALSE,FALSE,moderate_potential,8.185991094604644,47.461425222777464
Meiringen,785,2500,FALSE,TRUE,good_potential,7.146416489709537,46.99494542839664
Meisterschwanden,4202,0,TRUE,TRUE,high_potential,7.76165863801209,46.28190271656553
Melchnau,333,0,TRUE,TRUE,high_potential,7.714186063776898,46.18890540818902
Melide,5198,15207,FALSE,FALSE,moderate_potential,7.448421257385641,47.217258007347745
Mellikon,4314,22361,FALSE,FALSE,moderate_potential,8.945631431599967,46.37091516300053
Mellingen,4033,7071,FALSE,FALSE,moderate_potential,6.821396239859,46.605263120764825
Mels,3293,2500,FALSE,TRUE,good_potential,8.877840198020385,45.98924060441297
Meltingen,2620,3536,FALSE,FALSE,moderate_potential,7.197035541486152,46.21506212126648
Mendrisio,5254,22500,FALSE,FALSE,moderate_potential,6.671541159017298,46.482818223526614
Menziken,4139,2500,FALSE,TRUE,good_potential,9.231889686962644,47.32073841057268
Menzingen,1704,2500,FALSE,TRUE,good_potential,9.337975667158762,47.57699070330399
Menznau,1136,0,TRUE,TRUE,high_potential,9.764381599600542,46.630029861775085
Merenschwand,4234,5590,FALSE,FALSE,moderate_potential,7.57459064036469,46.77496897687874
Mergoscia,5117,17678,FALSE,FALSE,moderate_potential,8.630166813669478,47.29715988981993
Merishausen,2936,11180,FALSE,FALSE,moderate_potential,8.672429831920365,47.47482416717022
Mervelier,6715,2500,FALSE,TRUE,good_potential,8.745593380770996,47.582539962836
Merzligen,741,3536,FALSE,FALSE,moderate_potential,7.68868324323083,47.47102960462413
Mesocco,3822,12500,FALSE,FALSE,moderate_potential,8.322084814114021,47.57199933646292
Messen,2457,10607,FALSE,FALSE,moderate_potential,7.763506659630573,47.23529821317396
Mettauertal,4184,18200,FALSE,FALSE,moderate_potential,7.751759014627141,47.39327045420761
Mettembert,6716,0,TRUE,TRUE,high_potential,8.730046547580512,47.6330444770612
Mettmenstetten,9,9014,FALSE,FALSE,moderate_potential,8.681719918551059,47.27026957145175
Metzerlen-Mariastein,2477,0,TRUE,TRUE,high_potential,6.448106855734202,46.500981779381036
Mex (VD),5489,2500,FALSE,TRUE,good_potential,7.900035777052092,47.17585957859457
Meyriez,2271,2500,FALSE,TRUE,good_potential,6.64370971171079,46.58141801860552
Meyrin,6630,5590,FALSE,FALSE,moderate_potential,6.5924595879694055,46.83187981444719
Mezzovico-Vira,5199,5000,FALSE,FALSE,moderate_potential,6.691625906056735,46.77086474894406
Mies,5723,10607,FALSE,FALSE,moderate_potential,7.061918688146268,46.465060852078885
Milvignes,6416,3536,FALSE,FALSE,moderate_potential,7.873954665165507,46.673470364183714
Minusio,5118,14577,FALSE,FALSE,moderate_potential,7.296489499828581,47.10075674503869
Mirchel,615,0,TRUE,TRUE,high_potential,6.198959036780822,46.48954086406846
Misery-Courtion,2272,7906,FALSE,FALSE,moderate_potential,8.367385487097764,47.417899392669675
Missy,5821,13463,FALSE,FALSE,moderate_potential,7.366306809338832,47.00718745865415
Moiry,5490,0,TRUE,TRUE,high_potential,6.8994463649779325,46.79081909686307
Mollens (VD),5431,3536,FALSE,FALSE,moderate_potential,8.83226791296543,46.1225201483717
Molondin,5921,2500,FALSE,TRUE,good_potential,8.558431308627846,47.48602964084427
Mont-Noble,6090,7071,FALSE,FALSE,moderate_potential,6.67352236747816,46.6997247995459
Mont-Tramelan,437,0,TRUE,TRUE,high_potential,7.223600404919551,47.00893458515546
Mont-Vully,2284,5000,FALSE,FALSE,moderate_potential,9.354285256386396,47.54979410775151
Mont-la-Ville,5491,0,TRUE,TRUE,high_potential,7.644251711866855,47.10519056756839
Mont-sur-Rolle,5859,0,TRUE,TRUE,high_potential,8.973575185552967,46.15324507591941
Montagny (FR),2029,5000,FALSE,FALSE,moderate_potential,7.739458675924327,47.376611957998676
Montagny-près-Yverdon,5922,0,TRUE,TRUE,high_potential,8.581141892477962,47.06740497715774
Montanaire,5693,0,TRUE,TRUE,high_potential,9.337455622700967,47.00074636155037
Montcherand,5756,2500,FALSE,TRUE,good_potential,7.033913026658777,46.49862150788429
Monteceneri,5238,2500,FALSE,TRUE,good_potential,9.550916751710446,47.09689453566984
Montfaucon,6751,0,TRUE,TRUE,high_potential,7.5794495884543744,46.845304175288106
Monthey,6153,0,TRUE,TRUE,high_potential,7.8834258227830905,46.8111597945067
